name, testRetest//@t.com,someColumn
name,test$%@t.com,someColumn
name,test__@t.com,someColumn
name,test1@t.com,someColumn
name,  testUPPER@t.com,someColumn
name,test%@t.com,someColumn
name,test^@t.com,someColumn
name,test1134@t.com,someColumn
name,test{}@t.com,someColumn
name,test{!}@t.com,someColumn
name,test1133@t.com,someColumn
name,test1132@t.com,someColumn
name,test`@t.com,someColumn
name,testp1@t.com,someColumn
name,testp2@t.com,someColumn
name,testp3@t.com,someColumn
name,testp4@t.com,someColumn
name,testp5@t.com,someColumn
name,testp6@t.com,someColumn
name,testp7@t.com,someColumn
name,testp8@t.com,someColumn
name,testp9@t.com,someColumn
name,testp10@t.com,someColumn
name,testp11@t.com,someColumn
name,testp12@t.com,someColumn
name,testp13@t.com,someColumn
name,testp14@t.com,someColumn
name,testp15@t.com,someColumn
name,testp16@t.com,someColumn
name,testp17@t.com,someColumn
